client_id,round_number,hierarchy,num_samples,set,accuracy,loss
19c816tf9227,0,,63,test,0.2857142857142857,0.6931490302085876
1LockNess,0,,10,test,1.0,0.6928466558456421
1_2_ManyTweets,0,,10,test,0.0,0.693243682384491
21seant,0,,11,test,0.5,0.6931488513946533
22q,0,,12,test,0.0,0.6933310627937317
30STMWithJared,0,,22,test,0.0,0.6934342980384827
30STMluva,0,,47,test,0.8,0.6930182576179504
3alyo0o,0,,11,test,0.5,0.6930817365646362
3djay,0,,19,test,0.5,0.6930584907531738
4EverInABind,0,,10,test,0.0,0.6934840083122253
4chanbot,0,,18,test,0.5,0.6930991411209106
5erg,0,,14,test,1.0,0.6928493976593018
5tephaN,0,,12,test,0.0,0.6934665441513062
614Magazine,0,,11,test,0.5,0.6932475566864014
8Aimee,0,,12,test,1.0,0.6929582953453064
AAmyHaanson,0,,27,test,0.0,0.6932767033576965
ABZQuine,0,,27,test,0.3333333333333333,0.6931408047676086
ALiiStack,0,,16,test,0.5,0.693091869354248
AMAUIBLOG,0,,15,test,1.0,0.692855179309845
AProudArmyMom,0,,20,test,1.0,0.6929636001586914
ASOS_Efe,0,,14,test,1.0,0.6929289102554321
ATX58gurl,0,,10,test,0.0,0.6934064030647278
A_Elizabethhh,0,,17,test,0.5,0.6932788491249084
A_RAVEN,0,,25,test,0.3333333333333333,0.6931717991828918
A_sourgirl,0,,18,test,0.5,0.6930064558982849
AaL17,0,,40,test,0.75,0.6930055022239685
Abashima,0,,15,test,0.5,0.6931310296058655
AbbyLipstick,0,,16,test,0.0,0.6932427883148193
Abeeliever,0,,18,test,0.0,0.6932920217514038
AberdeenUK,0,,43,test,1.0,0.6929804086685181
AblativMeatshld,0,,15,test,0.0,0.693359375
AdamJCosburn,0,,14,test,0.5,0.6931531429290771
AdamSatayer,0,,22,test,0.6666666666666666,0.6931150555610657
Adam_Live,0,,13,test,0.0,0.693455159664154
AdorkableMellie,0,,39,test,0.75,0.6931024789810181
AirborneGeek,0,,12,test,0.5,0.693253219127655
Aiysha,0,,25,test,0.6666666666666666,0.6931225657463074
Al_ice,0,,57,test,0.6666666666666666,0.6930639147758484
AlexaRPD,0,,12,test,0.0,0.693398654460907
AlexisMarie23,0,,43,test,0.8,0.6929524540901184
AlexisssO_O,0,,11,test,1.0,0.6928378343582153
AlexxxD2,0,,11,test,0.5,0.6932491064071655
AlishaLoves,0,,11,test,0.5,0.6931434273719788
AllTimeLow55,0,,11,test,0.0,0.6934196352958679
AllenDaGreat,0,,11,test,0.5,0.6931756138801575
AlltidSlask,0,,14,test,0.0,0.6934220790863037
AmandaBranwyn,0,,13,test,0.5,0.6932233572006226
AmazingSha,0,,13,test,0.5,0.693034291267395
AmberellaJ,0,,10,test,0.0,0.6933568120002747
Amie__88,0,,14,test,0.0,0.693367600440979
Amzieebbz,0,,16,test,0.0,0.6934764385223389
Anaime,0,,10,test,0.0,0.6932852268218994
AndTHAThappens,0,,11,test,0.5,0.6931748390197754
AndrewOneDegree,0,,10,test,1.0,0.6928858160972595
Andyb0y,0,,13,test,1.0,0.6928083300590515
AngelIVXXX,0,,27,test,1.0,0.692955493927002
AngelaCatherine,0,,10,test,1.0,0.693002462387085
AngelaPinjuh,0,,12,test,1.0,0.6929723024368286
AnneDouglas,0,,23,test,0.6666666666666666,0.6931479573249817
Anne_A4L,0,,37,test,1.0,0.6929347515106201
AnneeApple,0,,12,test,1.0,0.692851722240448
AnnemarieEvans,0,,10,test,1.0,0.693040132522583
Arcangel2020,0,,12,test,1.0,0.6928335428237915
Arcania,0,,30,test,1.0,0.6928914189338684
Art_By_IDEITY,0,,10,test,0.0,0.6933374404907227
Ashaii,0,,11,test,0.5,0.6931507587432861
AshleighINSANE,0,,22,test,0.6666666666666666,0.6930732727050781
AshleyyMariiexo,0,,15,test,0.5,0.6931540966033936
AudreyMcClellan,0,,10,test,1.0,0.6929837465286255
AwkwardFilmGirl,0,,12,test,0.0,0.6935769319534302
Azlen,0,,33,test,0.75,0.6930347681045532
BARACKOKITTY,0,,61,test,0.5714285714285714,0.6931162476539612
BJNemeth,0,,15,test,1.0,0.6930545568466187
BabeNatasha,0,,28,test,0.6666666666666666,0.693048894405365
Babsssss,0,,18,test,1.0,0.6928189396858215
Babygal219,0,,19,test,1.0,0.6929255723953247
Babystray,0,,15,test,0.5,0.6932469010353088
BackRhoades,0,,10,test,0.0,0.693446934223175
Bebalicious69,0,,15,test,1.0,0.6930592060089111
Bec93,0,,20,test,0.5,0.6931993961334229
Beccy91,0,,11,test,0.0,0.6934899687767029
Beckyrudd,0,,28,test,0.3333333333333333,0.6932317614555359
Beehardy,0,,14,test,0.5,0.6931638717651367
Belindabrown,0,,12,test,1.0,0.6928365230560303
BendyWalker,0,,17,test,0.5,0.6931642293930054
BenjaminEllis,0,,20,test,0.0,0.693291962146759
Benjamin_Leigh,0,,10,test,0.0,0.6931870579719543
Berechitax,0,,12,test,0.5,0.6931179165840149
BethTN09,0,,10,test,1.0,0.6929419040679932
Betheaeroplane,0,,18,test,0.0,0.6934618353843689
BiancaCullen,0,,16,test,0.5,0.6931455135345459
BiggbyBob,0,,20,test,1.0,0.6928619146347046
Bizarre57,0,,73,test,0.5,0.6931449174880981
Bizcuits,0,,87,test,0.6666666666666666,0.6929710507392883
